width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,keypoint_11_x,keypoint_11_y,keypoint_12_x,keypoint_12_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,quality
49,31,76.1995,109.12216,123.88542,95.395584,128.46596,91.33207,132.94753,87.373634,98.25297,135.68793,118.75034,151.35765,104.74853,157.82616,91.12832,158.17264,67.080986,129.6569,68.08867,81.06315,135.57515,29.416988,118.665215,13.447206,105.83424,3.3283396,26.632598876953125,25.632454,1.0246556763734476,-1.0076828,-8.110832,54.62478,67.615944,0.6
62,39,52.741856,95.783585,96.44279,96.17537,99.51656,95.65779,121.64125,92.54633,96.26231,173.42488,124.12778,160.84464,116.87634,194.29488,91.97162,212.30313,64.93265,171.46631,54.012527,127.92729,87.27323,60.11229,25.296846,50.306416,13.684352,10.972644,4.988868713378906,0.18048096,0.9749740091982508,10.92012,1.2706718,45.49759,77.62088,0.6
129,69,92.0233,73.19366,124.5072,69.03219,129.03415,59.749847,157.78717,61.358734,129.12628,127.60413,162.04147,113.87419,167.46884,163.8941,141.9239,188.96127,112.01983,168.74805,98.77256,104.03765,124.99932,7.8401613,90.72263,6.88796,58.391243,2.0542245,21.117263793945312,4.6190796,0.06260250033553116,13.247269,6.74926,23.566483,97.14969,0.6
92,74,45.108574,91.5766,95.96903,87.07566,118.64213,78.53527,152.5273,79.04094,100.46908,143.64441,130.95705,120.09827,118.94332,171.27237,88.23278,191.04498,54.332893,160.81158,48.841423,112.59802,109.15815,42.562737,66.665665,58.197834,59.739273,36.528206,21.0760498046875,4.500046,0.15918813858397507,5.4914703,3.7328491,31.046387,54.40019,0.6
83,77,93.24674,88.133575,147.31,78.915474,144.77332,76.19941,166.49722,78.27115,148.05585,136.15561,182.91277,114.076706,162.09671,146.31084,132.29024,161.23268,108.05619,143.51392,107.69671,118.22674,132.19661,55.441105,57.122734,54.360195,41.472168,5.7280025,15.507339477539062,0.7458496,0.9325700149028908,0.3594818,14.449966,17.928871,63.866543,0.6
42,38,42.777527,95.7658,111.314354,84.2981,114.86659,80.00091,210.47903,88.282684,114.90056,134.5813,157.8337,121.23921,159.3846,159.0281,112.87707,183.41348,64.18876,158.41516,44.32657,91.05038,108.71556,54.993607,52.668842,41.088375,44.63497,14.057202,19.749473571777344,3.5862045,0.03144462378330104,19.86219,1.5490417,43.530922,49.962,0.6
135,103,17.53257,90.5894,122.214775,86.82016,157.80565,77.394035,213.14127,83.49361,117.18296,143.79099,158.08698,119.00465,138.60278,178.01741,102.51669,195.75641,68.819916,171.72415,72.324135,125.44203,136.24117,36.254173,73.38601,36.93539,44.098087,6.835593,16.52191925048828,5.0318146,0.05921228729752004,-3.504219,54.791565,18.348953,88.50664,0.6
44,37,68.14467,108.91847,115.86879,110.23694,177.27145,96.84581,196.0106,98.93735,121.80012,155.38351,156.32726,150.46695,136.39014,177.849,107.74357,189.89737,83.368126,182.9532,65.076805,152.9466,171.14485,70.155266,116.93754,73.56074,105.70118,41.36207,23.37225341796875,5.931328,0.2218620996444003,18.29132,-3.0678635,2.4369202,79.38586,0.6
50,40,34.244072,101.4854,114.82272,108.43525,118.30116,106.75474,148.52536,112.329605,135.53825,149.99762,166.7541,154.41405,170.6566,178.50882,149.28877,197.91296,118.59355,181.8582,105.58142,151.75746,96.9954,73.293625,46.18623,32.924915,46.978287,10.506571,12.52471923828125,20.71553,0.06841664420984628,13.012131,71.33735,-1.7598419,118.83255,0.6
149,119,63.264927,94.56475,150.04953,94.574745,144.94138,93.66395,156.2966,93.56237,106.79226,157.60593,139.52681,135.78871,125.86691,174.05698,103.140495,183.91183,83.95585,145.00252,84.022736,105.85167,141.3871,55.04896,89.24764,68.66426,71.2521,45.46711,1.913177490234375,43.25727,1.8784688111169694,-0.0668869,20.757809,51.754257,37.18741,0.6
51,38,79.59617,108.94616,132.69138,107.04428,133.7381,97.72696,150.82848,101.59748,124.74538,152.39896,152.90045,161.52054,136.64014,166.96132,125.44116,178.08772,107.159836,156.21576,96.138145,128.6179,130.09738,57.267014,5.329852,5.7240853,4.0604324,6.142296,16.666000366210938,7.945999,0.7917789650575306,11.02169,16.541977,23.781052,122.89382,0.6
108,73,27.12765,78.948746,105.57499,72.18126,135.65768,65.52169,148.76245,66.21767,105.20005,118.74755,134.12799,103.84097,137.21622,153.30966,110.86335,181.99516,82.07107,154.7621,71.5906,108.19795,133.43715,38.403996,53.768604,41.65777,52.85557,21.811127,19.390647888183594,0.37493896,0.2666563820213397,10.480469,44.46295,10.549599,66.540184,0.6
96,96,57.035576,81.563705,116.74617,74.92482,122.85678,70.244804,145.66246,74.9948,110.46654,115.63426,127.68289,107.76664,106.11427,134.33453,84.14068,151.36963,64.651825,129.32698,62.28798,103.17816,111.79887,44.89188,44.915413,54.857193,34.528374,44.90458,12.263359069824219,6.2796326,0.07197209659277737,2.3638458,5.2524033,12.4561,48.32097,0.6
98,76,70.57486,91.40683,151.7647,94.775215,150.6889,96.03635,180.12091,103.54464,163.70734,157.70093,183.61523,138.70724,165.05035,168.55762,145.93845,182.41316,116.56766,154.29611,98.864204,123.84725,131.35558,41.195965,45.3235,44.315063,17.515285,7.733933,14.207763671875,11.942642,1.1042938731275078,17.703453,28.289345,33.853676,79.53219,0.6
69,67,41.574215,95.09993,134.5123,90.39876,157.03961,78.86086,182.25903,81.030594,132.63707,149.4145,163.16397,135.2375,141.09882,159.29332,112.89218,175.7676,85.11901,157.5474,87.52919,128.55548,163.45703,45.505688,64.94101,58.315487,57.687675,26.325083,25.60723114013672,1.8752289,0.793094279842772,-2.4101791,45.954975,20.859024,70.23999,0.6
66,68,97.431,97.95862,144.63383,95.490036,126.45199,93.386154,171.25627,85.50893,133.99771,136.54099,180.31783,111.861275,152.53278,157.97293,126.31116,169.75748,95.30354,138.54622,109.34511,75.4878,106.15,57.701595,55.430843,45.905975,55.4463,5.092363,15.154006958007812,10.636124,0.24380053593758655,-14.041565,11.914108,61.053185,29.581825,0.6
96,84,10.449968,63.698086,60.317562,59.47402,60.638752,59.839794,73.39608,64.29125,48.7423,113.37931,75.6472,116.935104,54.3129,144.50319,41.564354,150.5355,15.921873,123.94118,17.013042,92.535965,49.68126,14.372602,13.244099,15.281469,9.76625,6.306439,8.675525665283203,11.575264,0.456909627199112,-1.0911694,6.563074,20.843346,77.25449,0.6
123,84,62.63136,126.953415,125.8738,116.17649,122.5778,113.43184,167.23358,105.35243,133.42102,168.81927,154.26306,137.89749,152.19856,177.60597,133.45338,194.61784,101.05255,169.5813,89.98092,135.8055,121.66655,94.95817,57.827244,97.89988,38.887672,79.17186,24.34563446044922,7.5472183,1.0613934316092801,11.071632,27.34956,33.01378,37.905617,0.6
80,48,116.96803,105.05327,172.40744,113.32373,167.60165,111.15869,199.563,106.46978,166.61107,169.44043,186.62857,164.77718,173.3151,189.08139,158.9936,200.15897,135.73737,167.23502,133.61928,109.11228,143.55206,28.272734,103.20061,57.93387,76.558205,25.928917,12.959373474121094,5.7963715,0.7825335154828021,2.1180878,16.651245,60.328148,51.178413,0.6
116,74,46.43339,118.63707,112.05565,101.9712,133.967,98.10097,164.26198,102.79816,120.32578,158.773,131.92212,138.76834,138.66672,183.62535,113.56132,207.13687,82.95541,179.06866,74.16656,131.25641,124.29917,52.296196,101.989426,45.694393,129.84479,19.952026,26.52043914794922,8.270134,0.1754091728235878,8.788849,27.733166,27.516586,85.56201,0.6
148,89,30.005587,99.23032,134.42567,107.533325,12.7696905,10.110023,181.4597,105.20338,133.81589,173.12546,147.87047,152.57619,131.99083,187.65956,114.95656,201.48584,95.17344,163.75333,90.02571,118.38044,141.34714,34.775402,93.57136,39.355072,78.17735,10.3491125,140.81849002838135,0.609787,0.9259465245672138,5.147728,60.020126,54.745018,79.02537,0.6
102,70,28.677689,100.04319,92.275764,110.90329,98.81977,112.4469,128.21542,112.68231,67.19061,143.02086,98.13032,149.94144,88.17197,184.38904,60.731503,190.72382,48.918198,166.89975,44.2283,136.23586,102.78556,70.83161,7.6590357,11.058708,38.21917,46.04678,17.95146942138672,25.085152,0.15341870772209565,4.6898994,15.55061,6.7850037,125.17715,0.6
150,156,4.193617,16.257118,56.27793,76.739876,83.85323,74.197876,134.41951,80.89809,56.049416,119.43643,83.53198,106.41462,87.16247,143.76247,64.74869,160.07016,19.319891,144.88182,12.445434,99.67373,87.5435,55.325836,30.068565,38.941963,11.219078,51.267773,91.53224182128906,0.22851562,0.027497833279109374,6.8744574,8.251817,19.762703,60.731766,0.6
44,25,49.341515,67.15947,108.20378,65.34384,111.53534,62.237064,172.55525,55.38502,112.145386,147.99323,149.32922,102.55432,142.73398,149.67715,102.95032,205.54825,73.23794,177.18874,48.783756,126.27934,118.705444,11.675509,30.808369,9.306124,8.440114,2.4318273,14.8812255859375,3.9416046,0.41963551570616,24.454182,-0.55775833,21.713882,116.97322,0.6
123,90,47.863834,98.80931,126.52884,118.7995,163.21931,105.70885,165.07521,107.04349,126.95934,163.87796,149.08711,146.7531,147.18806,188.5323,126.86365,203.5486,97.38921,173.64313,87.952934,100.69884,140.98586,59.125492,77.99916,60.460945,49.246704,46.7247,22.418426513671875,0.43050385,0.13636649817316204,9.436279,40.0891,63.179123,40.237892,0.6
63,60,79.52826,130.4057,167.61426,130.46478,165.75777,125.73392,196.9809,130.41104,176.70567,171.40517,191.99934,170.75935,177.5729,182.0725,167.79881,178.09769,143.52206,169.37758,122.4663,130.63208,126.74568,106.75161,69.67687,84.792694,132.25096,64.21653,7.039886474609375,9.091415,2.7642635720024815,21.055763,42.93804,40.773087,45.839386,0.6
78,54,10.563085,37.19911,117.4738,31.36935,140.5759,24.283981,176.43399,22.734379,104.89523,106.162674,144.21515,91.478226,138.01154,138.13242,97.383575,179.75787,67.71076,146.57468,48.12795,93.076805,9.384106,2.5962558,2.3966517,0.9111404,2.855051,1.3786793,21.550098419189453,12.5785675,0.025225332828354263,19.582813,37.564865,13.085869,92.165665,0.6
72,74,40.489285,81.423935,94.70919,86.88367,96.48003,77.7553,145.93283,82.05328,81.0845,130.17896,111.41423,129.80492,90.44932,154.50485,78.02366,166.16664,54.448418,138.43918,47.19116,104.91016,89.755066,43.374313,60.95667,22.921764,87.03123,6.1907167,9.757713317871094,13.624687,0.2566853001117555,7.2572594,6.701874,25.268799,81.98839,0.6
69,73,25.2144,28.28467,110.70704,37.988113,148.81267,29.683466,199.53415,37.312943,119.109406,78.33515,154.33846,77.27373,149.24763,103.85788,124.070595,123.69469,82.78313,93.36945,66.735596,62.253532,157.33624,13.170555,123.412865,6.544966,96.70494,3.023062,17.33292007446289,8.402367,0.09680867699057505,16.047531,41.521194,16.08162,55.708565,0.6
98,102,44.90842,129.08163,90.87863,137.62326,111.8804,141.05823,136.05182,147.3637,95.97759,171.95534,112.76735,177.21068,97.35081,188.51929,69.23886,195.30984,53.61526,169.70679,53.138676,137.94432,123.22169,120.74242,58.16165,73.24161,52.930115,62.901505,21.717025756835938,5.098961,0.022346711916608863,0.4765854,8.230255,34.011017,64.70271,0.6
123,87,49.525604,37.519375,126.867645,35.732452,98.07703,33.562798,130.97449,35.17184,105.13115,98.166504,143.43509,93.42416,125.37403,126.00392,92.70469,136.8854,71.00272,106.5756,64.76071,73.25105,117.69435,7.073315,2.793921,1.2544675,4.2199836,1.2997464,4.517189025878906,21.736496,0.6257491405029276,6.242012,15.235107,24.915451,71.99658,0.6
119,86,67.81869,72.81536,123.13175,74.72967,107.45379,69.79451,142.29124,69.28078,124.68885,122.52565,137.44037,117.096176,142.92345,142.2804,128.38144,151.38077,103.19422,119.9495,92.04772,78.62747,129.66283,44.424946,106.00049,15.408501,84.64858,6.386151,8.469741821289062,1.5570984,0.6438856885846818,11.1465,24.229034,43.89818,63.21897,0.6
74,44,68.99576,75.05306,117.47158,80.22672,110.82277,64.83052,172.59216,70.984276,122.61923,130.39822,145.24602,111.1661,136.82657,151.43768,121.68969,173.50415,99.228485,151.85526,84.70785,103.953064,121.78392,49.03452,98.45945,11.5099125,64.73183,7.222919,19.464988708496094,5.1476517,0.1697501697807764,14.5206375,15.71209,26.44516,92.44315,0.6
67,55,103.50095,98.281715,152.50429,98.330956,133.27682,96.96528,181.4294,91.30166,139.369,141.31815,183.85374,113.82952,156.90004,162.37163,128.21678,185.09041,98.26711,135.84389,117.05254,69.67039,122.78082,57.22792,70.32475,33.716206,58.744522,5.396664,9.83648681640625,13.135284,0.004900500641949246,-18.78543,13.55159,71.64776,35.95418,0.6
74,38,28.014473,66.915596,94.433304,52.631695,93.94273,51.83072,128.50075,50.61873,84.005424,126.459595,112.11397,92.816246,117.43514,147.33174,95.655106,199.51054,68.54367,155.32033,51.643566,93.86546,103.39977,13.092609,3.0361013,2.2594306,3.7495494,2.941448,22.832820892333984,10.427879,0.007930921513533251,16.900105,23.629093,32.59413,91.60603,0.6
59,40,75.46032,111.50624,110.01978,112.83452,117.522835,110.58796,210.36635,96.93741,108.91836,135.1598,140.24432,127.87705,132.5964,151.02408,101.55669,163.037,80.14241,146.52092,76.8977,115.55401,126.04394,60.711304,72.23868,67.80574,65.91984,50.564835,22.058250427246094,1.1014252,0.22475745186062757,3.2447128,1.4373779,19.605797,47.74827,0.6
178,108,38.175568,83.111984,151.43724,86.50101,185.26903,65.03424,217.32983,64.235756,152.07529,151.1277,182.027,152.63867,165.23474,175.99554,148.46605,182.6411,120.01508,160.70126,112.65938,118.77808,195.30193,13.618359,98.794754,17.418083,82.04586,5.300374,40.342994689941406,0.63804626,1.0375488939115511,7.3557053,74.48381,32.349617,101.36,0.6
122,63,78.690895,46.138058,122.59038,45.032314,165.20718,38.287354,162.87938,34.781483,130.01576,105.5069,150.72041,104.84412,165.25385,131.29431,137.1709,162.64368,101.32333,140.42245,84.031975,103.0027,155.12936,21.71776,120.07153,13.266074,95.76376,4.853973,18.10153579711914,7.4253845,0.058102022833133926,17.291359,5.3410797,2.5041962,89.736626,0.6
114,70,74.03512,111.83244,112.91925,107.95493,132.42079,105.78098,138.45052,103.56368,103.12557,159.30507,129.14568,156.12753,113.54241,186.23203,98.059204,200.25699,76.532295,164.31856,74.543304,113.6808,137.8884,67.03204,79.809044,51.31338,64.524155,24.649101,10.442710876464844,9.793678,0.26685684733020376,1.9889908,0.50818634,45.624268,62.36742,0.6
114,96,72.846985,78.42913,116.448456,77.405495,162.80325,71.99604,166.86377,72.217705,126.171555,118.91409,147.14221,121.811035,163.03581,150.26196,132.34665,161.2771,95.97473,146.31717,77.5503,121.1953,132.2885,59.64734,76.10309,41.03256,58.83078,7.5654445,11.620880126953125,9.723099,0.0041701150376751706,18.42443,4.7033157,-2.2812042,80.162735,0.6
67,44,49.547413,100.56983,120.37413,108.71427,135.38017,98.826126,168.6598,100.5329,123.48129,166.98502,143.33865,157.3118,132.7493,193.05215,113.417885,208.09648,90.21982,178.17345,90.14575,127.59917,149.30609,54.328705,102.24007,57.98705,115.530266,27.730255,13.106979370117188,3.1071625,0.3786938001226383,0.07406616,40.59834,39.38585,69.61212,0.6
111,78,83.554214,93.850716,115.55921,95.69937,114.71236,93.65042,150.72926,100.31599,114.4426,140.08405,132.8556,140.47415,136.75061,170.81543,108.14478,187.18909,78.391464,171.68785,67.3195,127.79852,104.39287,52.251575,54.481632,49.215694,28.472147,36.61535,8.87371826171875,1.1166153,0.06576566957741359,11.07196,-16.23471,12.285522,78.582825,0.6
78,51,73.67123,76.92464,139.54375,80.85593,132.76456,73.87222,152.4708,75.83984,127.12416,122.27199,152.65582,106.490654,144.1178,137.40672,126.39917,156.08905,107.36328,127.70873,106.25354,93.12128,149.67453,59.860523,123.41627,39.847485,117.03458,32.84929,8.068496704101562,12.419586,0.27829557972407515,1.1097412,32.582314,29.150711,53.273792,0.6
87,79,37.626404,100.989716,120.25233,94.77795,141.49461,86.61375,196.66058,85.3947,126.66645,147.40741,169.04135,121.07033,158.34422,163.38687,123.004776,194.67297,98.6236,167.05534,84.60571,133.61292,135.14429,46.724667,41.100456,43.914474,20.013649,22.493761,23.75921630859375,6.4141235,0.11837214351545455,14.017883,46.97931,13.794495,89.69844,0.6
135,149,55.05145,90.05458,132.4685,93.67438,157.67145,93.12603,192.48032,87.869064,131.74136,134.76788,161.38788,134.2619,141.13364,164.6213,107.333435,182.57373,70.93854,163.50368,38.89487,86.104454,170.04453,57.938316,117.15025,56.99283,104.33304,28.079618,8.876762390136719,0.72714233,0.23430018687866083,32.043667,-16.156578,48.66343,29.111626,0.6
113,110,76.287544,102.35497,160.092,104.61011,148.96667,99.177536,213.59071,101.989655,147.48454,133.99852,170.7597,140.44617,164.4137,167.02103,135.27591,174.15848,114.173294,154.90031,106.297325,126.355225,160.51205,66.22741,101.659035,48.061684,79.27656,20.894115,5.797889709472656,12.607452,0.2381468663571853,7.875969,30.00978,7.6432953,78.29354,0.6
101,65,49.085606,98.43233,111.60924,97.448425,119.77517,88.83162,149.85397,90.11595,107.59859,153.41716,149.72867,130.52754,133.91402,186.88466,110.733185,212.49118,78.37297,181.07866,60.55574,121.47573,109.14234,56.00119,84.01187,30.22167,81.62732,8.178864,16.933181762695312,4.0106506,0.05147099887868589,17.81723,11.470135,31.94143,91.25406,0.6
75,47,57.108063,98.05571,99.53718,92.58445,135.1064,83.8325,153.87915,88.70909,111.84775,149.26735,133.66646,131.691,137.51062,188.2957,113.90399,214.35234,84.32074,186.06519,76.762115,135.82263,119.475365,39.64162,78.975655,53.964756,63.39003,31.513115,18.09857177734375,12.31057,0.10923558398508693,7.5586243,19.654053,13.444717,81.85788,0.6
123,114,76.64758,116.35225,149.17516,123.64637,151.99184,106.048874,170.08694,108.26755,144.13853,169.31981,174.15164,159.43033,166.35274,184.88527,144.2274,194.89551,119.13793,171.54218,106.58461,130.8338,138.18639,69.435745,78.693794,74.76384,72.416985,24.211226,25.68219757080078,5.036621,0.7966284510043995,12.553322,29.937027,38.486008,56.06996,0.6
190,118,81.5006,100.373146,137.0795,100.29827,134.05399,94.948006,169.68333,97.27096,141.97327,143.61484,153.9768,128.85991,166.19643,176.67032,143.59993,208.42105,110.838326,167.41122,96.300766,105.94146,120.85494,49.07198,86.029175,56.976807,60.700756,31.612446,8.45245361328125,4.8937683,0.3275582205675621,14.5375595,14.800163,37.673378,48.964653,0.6
64,46,61.612938,86.19329,139.5593,84.85144,153.6529,81.00653,190.38611,78.334045,136.27718,116.83938,157.89984,102.23995,141.6784,120.933395,126.22861,136.22052,108.006035,116.967445,97.51398,86.349434,146.22578,46.265396,102.66861,57.020912,89.87705,33.965782,11.704154968261719,3.2821198,0.4729305327953195,10.492058,35.90104,30.489944,29.328522,0.6
83,50,93.69862,111.82569,137.55968,114.85959,143.9081,99.66142,174.53693,107.27174,129.66135,164.51869,152.70111,146.86296,151.39566,176.98811,124.67869,199.2011,113.08463,182.62367,110.11959,142.96088,140.55125,61.09878,82.92513,57.96502,76.765205,33.03901,19.752113342285156,7.8983307,0.43508737628368954,2.965042,16.420967,21.557816,84.99586,0.6
248,117,67.20577,120.41338,93.01502,118.41119,97.30207,114.78372,128.71379,112.25099,97.76967,153.40094,113.38245,149.699,122.01366,183.077,109.23681,206.83911,90.79324,181.52617,76.892685,122.66649,103.507706,84.509,64.086395,30.677765,51.355133,5.839856,11.78985595703125,4.7546463,0.353919438179249,13.900558,9.686913,30.734451,91.98872,0.6
49,39,96.997246,89.63507,162.70973,78.50999,164.33182,78.996574,202.51277,75.460884,171.6666,145.73213,202.4344,147.95912,186.39047,170.25293,166.29341,170.14569,141.98521,151.15279,127.078186,119.83213,142.82738,26.058056,39.435013,23.266846,36.219093,6.343399,17.96887969970703,8.956863,1.7128818348026726,14.907028,30.08094,25.900002,96.565285,0.6
72,49,78.64376,81.82951,126.70951,87.541534,111.61194,76.62394,138.4067,81.399216,111.28805,153.69579,156.41675,113.02179,131.75452,165.5795,113.86668,191.39253,81.152115,159.64018,68.844955,117.86004,102.649506,55.237244,65.75367,32.252617,16.648031,9.476503,11.385978698730469,15.421463,0.797756787767153,12.307159,-9.798805,35.835747,85.60742,0.6
84,58,81.22433,91.13466,118.420746,92.80058,141.63928,89.573296,169.75305,88.40812,129.50397,149.4974,154.31548,135.486,159.46458,172.69019,138.5785,195.75339,115.6767,165.0311,95.18702,119.105225,135.73994,54.121895,89.56229,56.022697,75.3185,46.477554,5.953826904296875,11.083221,0.22555724048968107,20.489677,13.962692,30.392181,63.082527,0.6
95,55,90.40381,146.0495,142.59843,148.7232,147.55077,139.41704,186.71764,147.29488,143.78072,194.8623,169.52252,176.3317,153.15138,211.9106,7.0012264,5.0940022,96.51632,202.7583,93.562164,156.93605,129.10207,92.48231,81.0327,79.187874,48.423576,22.536108,11.908233642578125,1.1822815,0.8026959161585671,2.954155,3.1583557,37.926254,77.74818,0.6
282,135,96.41404,96.13018,154.0128,89.23033,134.04497,78.25956,160.26157,84.588776,135.85625,136.73718,149.2348,128.39232,140.61372,152.18723,131.07861,159.76459,112.39655,132.26576,111.494415,71.98376,124.33537,46.35066,38.66064,38.620445,16.084148,49.23806,22.512176513671875,18.156555,1.1625422970699901,0.90213776,15.080376,64.753426,33.36331,0.6
157,91,29.59353,91.882126,113.03109,105.10107,116.80597,102.058685,168.0394,114.095566,107.23988,160.4651,127.12745,165.52681,122.0406,193.77663,105.41344,197.83003,84.029305,175.20001,73.85171,128.39781,107.83674,58.685856,72.44488,39.222485,68.43818,9.814869,25.255821228027344,5.7912064,0.48801872982748407,10.177597,44.25818,32.06729,89.17532,0.6
115,67,62.5612,104.03229,104.86133,105.59157,121.042595,102.3636,145.61925,104.41966,103.639824,147.97137,127.45027,136.67474,123.514015,180.91545,106.84695,202.19641,82.766235,163.40594,79.359955,109.02272,113.86781,60.85923,77.5319,71.75366,88.53953,37.024445,3.6153411865234375,1.2215042,0.21948516755310576,3.4062805,16.798756,38.948654,37.26906,0.6
91,44,52.10083,137.92642,131.23091,134.22237,140.31694,121.32532,161.20372,128.03816,129.9195,201.20213,154.40862,197.5769,144.2118,213.8239,127.414215,217.07118,100.26362,178.79,99.81773,123.61305,135.94907,83.882034,96.69456,61.946598,69.04654,20.894836,22.785308837890625,1.3114166,3.1699438897199244,0.4458847,47.716904,77.58908,61.666454,0.6
115,56,68.09359,109.49332,146.62268,107.7642,151.54166,103.814064,165.4362,102.669815,140.48093,166.6242,164.54762,159.26665,157.77095,197.18929,137.4684,215.09476,110.724365,194.81033,98.37281,152.29187,150.59042,70.62264,100.68997,59.981045,107.22699,28.688023,10.773635864257812,6.141754,0.21858738423106105,12.351555,30.27922,14.332336,92.31082,0.6
94,63,45.997536,78.629135,115.32476,75.730934,156.55304,71.64881,201.76115,75.05921,126.92105,136.18884,153.87782,110.28636,157.05594,157.26085,131.69568,182.95851,92.100876,151.48592,75.08079,109.191925,139.8334,30.782373,93.50064,28.910372,70.745895,6.3578978,7.652046203613281,11.596291,0.30943176471136913,17.020088,29.083252,26.996918,80.281555,0.6
