width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,keypoint_11_x,keypoint_11_y,keypoint_12_x,keypoint_12_y,keypoint_13_x,keypoint_13_y,keypoint_14_x,keypoint_14_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,quality
92,58,41.769062,78.679405,1.7955927,1.4838934,120.22292,74.015175,138.51999,75.27523,170.85457,71.47539,100.40245,113.948685,113.712135,128.13971,109.98959,154.54921,86.267365,186.27487,45.49082,115.82008,125.03195,165.85571,139.6265,190.05885,139.13538,128.48216,175.90605,127.617485,180.40973,184.83905,2.850027506,8.464073181,1.147928874,3.7839813,-1.4358215,-61.919144,3.7217598,60.864975,7.062704116,-22.80943298,9.737762451,4.265630061,0.6
61,38,11.5018425,49.542885,91.281,58.801193,123.351006,53.212715,142.92722,53.21457,167.30925,49.787582,89.12792,84.26839,110.95308,99.75094,111.7736,128.41777,89.62836,173.00893,38.055115,75.56285,129.3328,145.92569,144.4849,200.24625,142.53064,117.23282,167.1619,121.84396,163.0492,204.68959,2.486209097,12.98621826,2.341288249,27.23732,31.680664,-100.49531,26.553272,2.537150065,10.32142904,23.93267822,5.581843058,2.1823079,0.6
103,64,7.8572025,46.433773,90.29763,55.859764,128.92822,55.469032,146.83595,57.559402,178.57385,66.446945,83.253105,92.56425,118.31977,86.043785,123.49114,121.44637,80.94116,156.06523,26.982586,64.70054,141.91142,138.93831,169.59067,180.16505,150.86694,111.521164,184.711,114.11647,198.35808,198.3322,14.78199528,22.59756241,27.65229797,24.099823,42.266968,-94.12127,19.125383,10.93399556,5.32165709,21.77976227,22.28754171,1.982674692,0.6
164,102,40.38193,57.87915,1.8768115,1.7554326,112.36377,50.084633,129.53923,52.971962,167.39003,58.677544,84.77219,82.6613,107.5565,103.03665,112.068924,144.94481,95.55984,168.78783,39.914272,86.480515,127.92204,154.06032,146.5588,173.99368,138.6069,108.959854,173.86298,121.911934,174.37535,189.86957,1.824981305,13.50009918,17.39150492,5.2058563,21.081741,-70.95703,0.467659,55.321106,15.40584554,-38.07067871,8.972178141,4.957309093,0.6
63,40,6.625587,53.641544,66.06325,53.2253,97.06389,51.107376,111.820526,48.82057,158.42856,50.70443,60.39824,74.07838,82.884155,83.2959,83.0486,113.041664,54.313065,151.80281,21.140427,100.22948,100.578545,113.39353,113.055756,160.36066,111.19043,87.485344,149.63818,94.643,153.84343,160.55482,0.970577656,7.734307861,2.067036947,8.557846,8.752014,-77.06476,14.514839,11.89023844,2.282276431,-32.29103851,8.916997274,3.024609599,0.6
64,40,36.653446,47.0887,74.849594,46.41588,91.24155,37.201195,109.74379,39.55689,138.68935,32.98151,67.41458,65.52807,85.92113,72.45648,79.26548,98.898865,50.79242,135.46495,24.626434,74.30277,91.85352,95.67113,107.206795,110.65521,106.51135,67.86262,143.34528,67.87834,144.71841,120.17154,12.31024832,24.41381836,3.846290588,-24.809738,-15.293411,-38.19873,12.027012,27.1195577,-0.94079512,-40.30749893,7.123336792,5.999239046,0.6
135,90,48.54407,74.996635,1.3208172,1.3329473,122.55075,70.437805,143.93475,73.36942,178.23683,77.23383,100.47063,113.09435,114.03934,131.82933,107.89653,162.02197,82.15427,193.14365,48.76612,113.4638,124.640144,164.82298,135.90582,199.70398,139.94087,129.49011,174.19714,135.76367,172.10204,198.13594,7.161404389,8.423240662,8.042658488,6.5603333,4.9922943,-67.87465,0.22204971,70.3403,2.657445204,-37.36547852,6.782989502,0.731621556,0.6
140,70,70.47374,33.72085,1.6621208,1.0594815,126.891716,52.165123,143.01869,56.778336,159.86432,58.177414,109.47095,72.8828,122.856674,93.45706,123.95153,119.480064,104.617455,140.86668,75.656044,75.41858,133.70665,129.93562,142.23213,149.08733,139.9082,98.30901,155.74173,99.50731,163.32106,156.91733,17.6154997,32.97916031,3.62294515,8.220642,16.050644,-55.630264,5.1823044,35.91279,3.325543077,-9.527229309,7.801274618,2.493225785,0.6
138,105,29.89497,74.377785,1.733995,1.5102252,114.07196,76.54025,131.66673,79.78054,163.87505,84.98889,87.48108,107.157074,112.433945,119.44256,112.521454,141.79062,87.18297,167.16605,52.41649,101.43891,123.97074,144.00723,135.38643,159.4211,135.6275,116.94861,162.36365,126.491196,162.4304,165.10439,4.145694824,13.85139465,5.120310465,-7.7449493,-2.0616608,-39.97854,22.521519,51.353592,3.913521016,-15.42918396,1.970703125,3.707160723,0.6
123,87,68.13756,106.783714,112.40403,101.7432,144.85516,104.37234,159.9015,110.71333,192.2346,108.614876,109.631775,134.50114,128.32614,140.21361,128.60248,167.36723,101.72464,205.05457,65.89071,119.652016,145.38922,163.93546,162.6231,202.24841,159.9737,148.99779,190.71754,168.38318,186.26457,214.49365,0.097261591,13.55088806,3.580657959,-2.8061523,9.439087,-62.034805,2.246849,12.39101919,3.083496847,-18.04127502,6.948664347,4.930294755,0.6
156,111,70.60431,81.137634,108.97974,73.832756,139.31155,76.34587,153.4619,78.90009,180.00955,74.06266,110.50804,101.44001,126.23181,100.82533,128.56454,127.62216,104.89749,157.72394,78.81043,88.006134,141.40872,124.180756,156.0445,152.61311,152.54686,105.286285,178.21544,116.61515,176.00081,165.52484,1.982864401,12.65224457,4.053497314,-5.1108246,7.8009033,-51.78778,8.206123,6.461868286,0.813197128,-12.68875122,4.148925781,4.516223731,0.6
108,51,61.38177,45.957474,2.0483203,1.2059087,118.702705,43.35357,137.69128,43.7342,171.6741,45.280777,92.41864,83.45221,111.23979,113.502716,109.3984,153.57112,92.44529,178.7036,64.484726,99.9048,123.11057,164.36255,133.61823,195.13156,136.48228,114.337944,166.67665,115.41108,166.47594,196.29538,4.142036279,4.150482178,4.624740601,16.427963,17.591782,-81.628845,3.1029549,62.275703,3.010609633,-48.6218605,6.797088623,0.430372022,0.6
174,104,33.150963,50.95675,4.6763334,3.2311158,116.107506,49.23456,130.65906,48.417618,167.3406,48.788498,88.89417,81.29325,103.237625,85.8342,100.696106,109.71184,73.411736,131.85475,36.20896,84.3506,114.12644,112.286736,125.57396,136.85983,123.553406,84.50466,150.67448,90.92189,146.57574,138.25516,4.479969669,3.214782715,8.127171834,5.005081,6.400406,-51.025635,3.0579987,66.6445,5.556011793,-19.50965881,24.95398458,9.776103737,0.6
72,48,43.2343,98.90664,1.8687416,2.021979,108.16553,93.06525,122.33109,95.03354,149.03973,96.69696,87.10551,129.0505,102.00341,126.86055,101.70044,141.02545,81.002014,177.07246,52.080738,123.89879,114.26079,148.99402,120.00726,177.01134,119.66912,131.53625,147.28088,138.66978,142.63432,189.13718,6.764379649,7.504814148,3.323867798,-0.06112671,12.064713,-50.150787,8.846439,47.339294,3.469808569,-16.81718445,7.367975871,2.340097966,0.6
59,44,21.594463,49.95772,2.2830007,1.7591931,107.372574,53.84661,120.681625,53.094414,191.77423,54.58422,89.206,85.869865,101.956726,97.97342,91.318436,115.511215,62.73352,132.617,29.168682,95.36965,107.45743,120.580734,120.04093,145.97594,122.09931,93.69177,148.19093,91.835915,143.6267,142.6309,2.200601405,5.826038361,2.317377726,13.3589325,10.013901,-48.002518,7.5742188,100.455795,3.187736579,-83.02520752,61.15388997,28.27642882,0.6
80,68,40.185204,72.82741,2.1701245,2.0578768,102.678246,77.89213,120.860565,78.576355,161.29678,76.455986,78.91896,107.61084,97.224625,109.45294,96.35363,124.52779,72.94568,146.68921,56.950348,108.2184,107.81025,131.58308,117.32358,157.06978,117.8645,115.08347,140.67683,121.117485,137.33435,165.70488,2.053327436,7.221115112,4.355367025,10.380569,19.01567,-47.616837,16.765144,64.94315,-3.369024669,-54.74403381,29.72159322,12.44884897,0.6
138,75,40.14726,61.590393,98.11148,61.534492,129.31079,59.724747,140.53049,65.539505,168.91344,64.03126,87.04907,82.77405,119.26454,94.42019,122.621994,129.74625,90.18619,178.71786,58.628017,58.905254,129.90994,144.13898,140.68175,160.92838,138.92429,120.337265,165.35289,129.36209,166.16762,199.11128,1.107819557,9.205212402,2.242446899,-17.78949,20.393417,-66.50819,18.480759,12.65846761,-0.226442941,9.958236694,4.204249064,1.255366415,0.6
151,72,33.290874,70.67648,135.1995,75.43316,164.59987,76.23232,174.49196,72.065285,200.2995,67.395004,139.82275,93.897575,156.25154,113.98755,151.64691,150.12247,128.65646,174.80025,73.22176,85.16347,160.11621,156.0612,172.37967,175.10205,175.49875,119.45742,195.94191,127.77667,195.89954,174.78644,1.248388528,13.88915863,3.487584432,0.3018036,-0.013809204,-61.114502,39.93089,11.80621338,12.8551797,59.909729,5.838363647,1.171749824,0.6
134,91,3.582386,14.360055,5.0975375,3.941747,121.1026,69.18254,147.57172,70.525345,188.93,73.337524,92.87906,117.52426,116.17553,122.33476,118.72359,153.3281,86.18675,203.43704,33.56451,109.36306,131.00085,174.49661,143.90753,204.63821,149.57788,136.35847,182.58015,142.10278,183.41136,207.81267,23.44374603,84.98262691,6.223022461,1.2011719,4.3756256,-82.30345,29.982124,70.206406,8.24978376,-18.13456726,7.912312826,0.784976755,0.6
44,30,20.367626,102.60799,0.5213627,0.5355047,122.020065,91.00242,149.07922,100.27592,189.3932,94.89408,93.90157,138.01282,113.53567,126.572136,129.04877,156.73557,109.07056,198.61896,56.922977,111.48512,144.76778,160.94344,171.19043,175.58952,160.51218,132.93028,199.08345,127.609795,204.80495,174.60764,9.848423836,16.98740387,22.36277262,-23.029434,-24.011322,-49.017387,36.55535,60.344437,12.15159764,-33.09384155,16.73465474,5.419129042,0.6
71,53,5.84466,51.97896,0.97017866,1.0602733,103.34019,59.340443,125.664154,60.322136,162.40321,58.10681,70.32402,113.72869,108.914246,122.973854,100.26782,158.251,72.54072,173.4993,22.568136,105.91905,119.57981,162.48112,133.3539,170.09225,132.66681,119.018425,165.61174,115.16026,164.85168,171.81076,8.32517781,10.91625595,9.794926961,-3.4070435,-1.6885376,-47.1184,16.723476,62.13539,11.00255668,-20.63052368,3.771331787,2.773601841,0.6
77,50,10.708622,48.306625,1.7314525,1.2467654,124.98458,42.632572,149.90036,37.665962,205.67783,47.94625,79.16759,96.612114,102.97691,83.914116,110.27174,116.80926,82.05797,170.32355,44.51621,96.774796,122.21339,132.47108,132.29778,185.57889,140.943,101.03931,171.88364,108.130295,164.69807,186.51958,9.629172412,15.95434189,17.70662944,15.255341,16.19603,-101.66477,33.807587,95.40608,3.801451318,-47.11053467,49.84928894,9.687678382,0.6
65,35,19.75001,49.658348,95.823006,61.270523,129.7935,73.22232,149.99722,83.0825,198.3796,127.630745,99.529495,75.22703,123.07616,113.609795,124.68332,145.90363,91.722015,185.68178,32.309254,53.794487,146.17761,163.71582,162.13583,189.5437,153.82213,133.61407,202.92476,159.00389,204.19421,201.48979,18.59112794,105.5349319,13.63488261,3.8619232,15.808014,-75.93391,12.559244,7.938977559,8.708009834,-27.128685,6.906534831,2.003344298,0.6
135,99,40.087086,60.64866,1.6246436,1.1579837,130.51755,63.153473,153.8703,68.270164,178.5682,69.11533,100.87708,105.15139,120.128174,110.73013,118.19029,137.16344,95.5,162.04446,75.94456,105.54493,132.12296,141.28638,145.42233,162.3758,149.62534,113.32245,172.98203,125.69653,170.5029,189.68982,3.543137724,13.58336639,8.461954753,0.33132935,27.645355,-51.64566,35.85747,60.377914,-1.097456592,-5.670852661,9.100982666,1.302903518,0.6
52,35,46.26406,70.50765,91.79895,64.10205,119.07876,63.899628,140.29742,63.91171,175.6267,57.656673,89.83865,99.23225,118.99932,107.03893,125.38902,144.72186,96.951004,177.1867,56.4573,81.99049,137.91489,153.45316,154.40689,178.80684,147.55074,119.32467,179.92899,119.556305,179.49007,169.829,1.815581727,13.15723877,14.24184672,1.6201324,-7.357712,-71.76791,10.193237,8.176274618,4.097650194,-40.28117371,5.443786621,5.028473018,0.6
105,86,36.19585,77.211,1.6999192,1.5564276,115.11409,75.145294,133.58867,79.236496,168.94576,81.0939,93.8127,105.80862,118.68268,115.70911,111.21502,149.43684,81.55255,178.31804,42.37831,99.50845,123.24453,152.3682,136.10876,175.70807,136.05634,123.7092,168.86128,130.09715,167.60571,184.26556,0.003009898,7.974105835,3.325169881,-2.60997,5.947525,-59.998962,6.182461,57.730736,3.801966623,-28.74508667,1.730407715,2.240521574,0.6
81,46,27.51772,66.07531,1.3076899,1.3161317,129.80045,69.142685,155.81873,75.19696,191.59845,73.39384,88.662964,127.80461,105.88977,135.29575,106.76482,159.71603,73.991356,194.5178,31.809944,79.840294,138.11055,168.79248,158.40637,199.29236,163.26295,132.76111,196.63382,129.27591,203.13118,200.16644,2.912301231,13.37280273,8.200536092,4.7745514,5.648636,-63.996613,4.292225,84.83363,2.920474529,-21.3132782,12.02006531,4.003428559,0.6
94,68,53.08626,55.702408,1.215979,0.8975586,132.46371,59.30596,152.74965,59.671387,172.96889,62.777573,105.13086,85.36897,126.250046,122.81111,123.00139,164.55377,96.97587,183.94751,56.1623,85.78526,134.60803,181.14629,145.36765,200.69588,149.83676,124.11004,173.03143,122.748474,169.29745,202.29369,0.397132183,7.440589905,7.900741577,16.748367,18.346176,-77.884766,3.0760384,49.9675,4.755159457,-1.632888794,4.93695577,1.48902641,0.6
77,44,55.47443,55.736816,106.46851,54.137337,128.50027,50.819347,142.37689,49.952442,165.12086,33.26716,109.71659,67.22763,129.15895,103.91404,122.47916,155.15952,101.74411,180.3692,4.519563,3.522523,133.09982,177.2924,141.6542,195.48618,137.78601,118.752975,166.86989,119.2648,166.69066,193.85652,4.136924957,31.03093262,5.639383952,15.116974,13.48732,-91.572136,50.95487,8.464594523,23.7521009,-0.215332031,2.212549845,0.844575344,0.6
74,47,41.366096,55.44378,85.374954,60.40183,115.58805,55.1475,128.47507,55.262684,179.41429,55.620964,78.355446,71.35958,98.54437,92.428894,87.84781,132.11081,66.00738,147.22617,4.3485894,3.646122,107.63228,146.99701,120.81476,175.5982,123.39505,108.32686,171.1022,120.21275,162.28339,184.41597,3.871127861,8.052946472,8.493550618,28.37204,37.189804,-83.16931,37.017506,21.14375814,11.02785702,-53.43052673,17.29981995,3.933973166,0.6
80,48,35.22282,72.042816,1.5277032,1.3901174,127.63602,58.927185,148.30855,60.472286,179.64207,56.36398,96.234505,96.42882,121.853226,104.162125,119.18158,136.61508,98.8426,166.09056,53.537758,124.56081,137.08684,140.80649,159.17973,169.76987,150.76837,105.58022,179.29124,106.84931,186.08977,171.85806,2.397497549,20.18250275,12.85503133,3.679306,5.767502,-65.60774,18.314938,60.460495,15.21654856,-11.59892273,8.830805461,2.484853561,0.6
74,50,39.6766,63.672504,1.6413438,1.6522684,134.37154,67.55815,154.4017,65.05639,191.21236,69.83774,90.776825,100.26103,112.559746,92.71451,116.39622,120.77095,73.77041,168.6004,44.395348,119.35326,132.16248,130.60236,146.12,166.50365,147.94978,110.00751,189.32571,116.57721,184.91754,171.60141,2.317308546,8.666996002,9.822423299,-2.096756,3.001007,-73.78914,4.718746,74.81614,-7.789871752,-18.98670959,7.135320028,1.12738025,0.6
244,167,38.891666,47.454105,93.109985,52.025925,123.485855,51.032154,140.01387,52.159817,175.30353,46.10945,90.25688,66.398094,115.870384,89.43057,112.17813,125.62224,83.91225,145.91696,37.290154,60.061012,127.33361,132.24823,134.447,165.47025,136.10277,101.97876,169.90703,105.07399,169.5943,161.15398,0.390666824,11.89804916,6.318649292,19.553284,15.237015,-76.03967,1.6015129,10.36158244,7.308635644,-19.04115295,7.403823853,0.028402888,0.6
114,90,36.851307,87.81935,1.8274611,2.1194322,106.750626,86.70903,120.455536,85.798035,156.17996,86.16399,74.330246,116.118774,98.539375,112.53693,101.26277,133.4621,75.10579,165.3145,39.515785,117.341095,114.6944,141.11668,128.83443,163.23083,126.351715,119.05408,161.88568,125.91769,159.2515,174.36578,5.265820914,2.566360474,9.516718547,-2.083664,9.051285,-50.69391,2.6644783,54.91719,5.092574108,-28.95935059,5.851501465,4.181405075,0.6
81,57,35.14335,87.73258,80.63353,91.91377,108.05366,85.48979,124.12466,85.424576,143.41911,84.59852,81.262596,100.940575,99.02681,111.89348,103.944695,137.96039,80.873146,164.70149,39.205223,98.86338,113.38771,146.39912,126.97954,163.59174,124.818054,113.84987,145.0849,115.34897,151.4726,160.8421,0.329754107,11.16531677,3.344240824,-1.1097565,-3.8593903,-51.698257,4.0618744,0.679005941,8.15225274,2.179397583,9.627456665,3.93802753,0.6
111,52,19.163864,69.93697,65.9693,49.17852,124.83589,59.508804,139.29771,61.02016,169.54298,62.506355,83.33198,99.04935,110.702225,92.52404,113.28166,122.323044,78.33071,178.41595,34.94732,60.03795,127.73518,122.91404,149.09006,172.23091,144.9143,108.30316,175.51073,108.67568,172.96071,178.54868,0.603907954,24.34600143,10.27262878,-6.1850433,0.13272095,-79.70687,15.783455,19.81606038,2.647419141,16.25784302,6.256983439,3.345026468,0.6
125,51,32.849636,99.4479,119.07494,83.27449,133.6846,80.110535,139.55653,80.54874,170.44543,79.22945,119.25078,107.08733,121.287834,133.37874,119.948235,154.29614,85.10778,177.87875,47.785553,89.914986,129.38431,162.86679,140.88391,178.37369,140.73305,127.429,169.84967,145.37466,171.01437,201.18228,10.07855544,29.85134125,1.669270833,0.49493408,23.303528,-44.99495,14.935917,45.40677389,0.941762126,27.31329346,1.17364502,0.510096597,0.6
143,71,41.732513,53.561775,103.62499,57.52663,129.18385,62.073044,142.7759,62.425446,199.62967,69.43438,102.823784,77.16828,123.119026,103.76856,123.490585,139.92526,94.766235,166.45071,41.558956,59.046986,135.09494,162.37852,150.97867,199.40486,140.95067,118.46976,169.07689,118.82376,172.90729,201.37198,8.985813941,21.8402092,12.15385946,32.954147,34.921265,-95.6363,0.17355728,11.27753194,8.682193448,-53.44029236,38.18343608,14.87665558,0.6
102,54,32.438435,47.25795,1.7351332,1.3996714,117.581955,45.371853,137.43713,44.00709,188.7142,56.90074,87.760284,97.26738,108.22964,112.33204,106.57539,139.05829,76.47943,184.66058,47.469345,71.86603,124.48753,161.26143,136.41718,200.8743,138.50829,119.90056,173.06703,128.19348,168.85199,204.20493,1.641541776,17.03266907,2.108179728,16.213715,19.544342,-88.54226,15.0309105,82.13881,-0.27521524,-57.12097168,23.67292786,7.306801065,0.6
98,59,56.646404,50.36871,92.975204,56.73696,123.55516,60.692642,141.17337,65.23429,165.98941,68.74391,97.9973,82.70478,115.13958,99.01964,120.84305,128.61629,97.262764,158.14285,56.755886,102.23342,131.10994,135.23586,138.65733,152.66162,140.4795,106.96897,162.31076,116.6871,162.0009,177.69978,7.123052508,27.20987625,2.892150879,-5.4812317,19.55693,-53.641983,0.10948181,6.2064387,8.362471864,-17.95974731,5.111445109,0.448032973,0.6
258,99,54.194725,61.82566,2.0770652,1.7498102,118.81802,65.90078,132.10347,68.01297,165.23065,70.19692,98.21281,111.09549,111.802315,129.59662,112.89547,157.90126,101.244156,199.21898,59.116085,101.51335,126.910324,175.09872,142.24825,197.63693,137.94418,127.76958,162.90857,129.61848,163.24405,198.23236,8.083295931,10.48345184,10.65699259,-1.5820465,-0.98661804,-68.04031,4.92136,52.335182,8.003078788,-28.2019577,2.872456868,5.36395696,0.6
55,27,20.671432,48.00878,0.77379113,0.76987267,107.83341,34.50746,139.63013,34.503788,170.08783,53.75639,79.84717,89.47428,112.711845,97.07499,109.79559,137.94978,65.7185,170.89503,10.180119,115.24661,127.049355,144.41373,145.0351,177.01985,142.56584,89.68431,174.34758,97.79683,180.00023,184.40785,6.633172882,32.75392151,5.560450236,6.124817,13.512817,-79.94486,10.491314,60.292236,7.63128224,-37.34685516,10.37670898,2.166743262,0.6
68,45,77.470985,61.696438,2.0327168,1.3376023,142.37007,69.817345,155.64293,72.288536,166.29147,74.333206,128.88939,100.174934,142.46324,113.0548,139.45624,133.60068,117.420044,150.68927,80.07025,68.467606,150.74725,141.09933,157.60803,152.45833,157.55183,113.223595,170.33655,118.01274,169.98874,157.23161,8.536562263,15.67490005,2.582672119,1.7690582,6.542343,-39.403526,2.599266,26.835236,5.183887753,17.05628204,5.161560059,1.149557498,0.6
136,65,55.83611,64.07874,92.74721,57.084366,117.1094,51.40735,130.00555,51.29682,147.53387,50.19672,90.63717,82.17215,107.01981,82.65166,113.08431,125.89239,87.05149,159.74866,58.11955,94.74041,121.45647,126.053154,130.996,171.78462,130.14317,100.69089,145.55217,97.13729,147.17276,170.5864,11.21315562,23.07501755,1.228846232,12.035965,10.837738,-89.132965,2.2834396,6.187601725,1.128675838,0.42433548,2.401524862,0.642839753,0.6
211,109,45.647434,55.47651,96.22298,53.70502,117.839355,52.99343,131.38739,53.95433,135.99864,41.952248,87.81053,67.35799,111.492836,95.78818,111.093025,134.89204,80.607895,191.00291,51.920334,67.94158,119.028336,156.98624,132.19609,189.3501,130.64622,117.47621,165.82358,128.87393,161.93039,197.23352,1.627725072,19.32811813,1.572387695,-1.6528168,6.230606,-93.56192,6.2728996,16.01835632,-0.420187279,35.87335205,37.17112732,9.138606256,0.6
123,88,36.452805,68.58401,103.69733,64.164185,128.1081,75.00375,142.83101,75.47586,184.30647,89.80618,94.1271,85.74001,99.65697,103.77215,96.95872,122.733116,66.29671,138.80542,43.733257,89.995155,118.62862,129.25888,128.51353,142.03465,140.75331,103.564026,173.11487,124.37613,163.36559,166.95938,8.133330195,32.93080597,17.70483907,3.2292328,28.153961,-38.262505,7.2804527,43.48733266,-3.868859799,-20.74147034,21.42166138,3.045441981,0.6
