width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,feature_0,feature_1,feature_2,feature_3,feature_4,quality
60,38,79.09593,99.238976,82.494995,52.315422,144.08424,59.68696,145.70615,106.61314,137.20316,104.01506,133.74985,153.342,85.952896,168.98817,31.114107,116.946045,19.470938,46.428234,3.399063,-39.552017,-5.887188,-11.956299,0.31856783457007454,0.6
140,80,111.26224,78.540245,112.06167,61.27542,139.48021,63.8614,141.3431,104.92939,2.9036973,2.0340102,146.85161,131.6826,129.41286,151.5578,98.16634,131.52127,88.30393,91.62213,0.79943085,-14.678844,30.34671,5.5085144,0.32906620586894797,0.6
55,35,52.92,49.071598,61.95363,13.421881,88.335556,31.364466,74.11511,85.606094,1.8318752,2.0542984,96.480705,140.81378,71.70474,178.5633,41.088135,174.54707,30.087204,141.10252,9.03363,-17.707132,127.68064,22.365593,0.08153957461013062,0.6
192,120,113.75819,26.07407,115.74971,13.768831,135.86342,40.7937,132.75613,61.188225,123.115005,66.15875,137.31773,98.44873,122.014824,114.13317,96.394585,105.30737,78.21827,76.998825,1.9915237,14.719631,63.229996,4.5615997,0.2272585867250525,0.6
261,162,4.271634,2.4727411,3.7434556,2.1303399,135.73837,28.942448,127.020546,78.22275,161.71259,109.88656,151.69882,155.81415,110.73345,170.46378,62.86035,149.9707,10.757351,10.378886,-0.52817845,26.469707,8.248547,24.678276,0.32857865473871284,0.6
166,103,98.08632,100.175934,91.525024,57.918724,139.22942,60.795876,130.3885,145.37698,1.1051263,1.512576,162.5727,173.23094,125.04432,213.86642,99.96515,206.5852,82.13289,188.33011,-6.5612946,-39.38006,130.41138,32.18419,0.10846131587843155,0.6
73,67,123.82548,65.75606,133.95633,57.71618,145.4202,67.06965,136.3794,89.01162,2.2084327,1.6352487,143.81087,98.87604,123.92504,112.32922,105.783485,93.076324,102.5811,55.26302,10.130852,1.313591,-2.4531593,7.431473,0.0004208397874372327,0.6
156,97,90.95133,22.151299,92.05975,4.9482594,153.30684,30.997622,149.22208,96.59503,0.9501774,0.99378455,163.28014,153.79434,131.43968,178.46042,77.27501,150.17215,43.915253,75.574524,1.1084213,8.846323,70.62627,14.05806,0.2562364270542612,0.6
49,31,95.38042,68.26435,97.14867,43.061028,121.17052,51.034546,101.59069,129.20564,1.8940902,1.7198353,127.55092,148.7251,95.50622,165.21266,54.434135,126.88141,59.590904,55.899174,1.7682495,-17.229805,12.838146,25.960228,0.7276556241066776,0.6
128,80,82.98055,112.13953,98.15714,91.40979,113.4372,82.51208,111.44843,123.386856,0.98966455,1.0138613,145.26874,174.12424,108.15386,209.08577,62.192238,130.38904,81.19964,59.213814,15.17659,-29.627449,-32.195976,33.820305,1.719179736267244,0.6
180,111,5.8624954,3.7006383,3.2862673,4.237652,111.78767,59.622833,111.82503,89.13218,1.8916059,2.063863,120.88896,123.080215,108.37117,138.49,81.10983,114.613716,69.53734,66.13963,-2.5762281,55.922195,61.90198,9.063934,2.738052801372139,0.6
123,108,118.71866,113.341156,127.76782,93.1785,138.61697,107.12011,134.90141,125.96852,1.2329046,1.0662248,150.2387,162.69803,124.83666,179.30994,85.598404,148.90842,69.28544,100.39125,9.049164,-6.2210464,7.2127533,15.33728,0.012781485277996607,0.6
192,96,146.75558,108.90089,149.96408,94.77583,165.5831,109.01831,156.31302,128.98967,1.4035933,1.2799867,170.74057,155.23024,150.96062,177.63698,125.024826,143.61598,112.80133,94.292816,3.208496,0.11742401,-0.48301697,14.427551,0.262245722190797,0.6
123,96,136.87503,116.14315,143.1841,104.64613,159.0044,115.347725,150.26521,138.7007,1.0287931,1.0366075,164.02585,168.29958,140.37787,185.3802,96.78376,154.87083,77.53875,97.96126,6.309067,-0.7954254,-6.6848755,13.760635,0.28022170778964695,0.6
156,87,80.292694,145.57222,85.16019,131.01065,96.88063,132.64679,97.00924,152.60796,1.8616197,1.7722514,110.41698,168.85966,91.787865,191.65292,61.800766,162.66331,49.860374,117.66731,4.8674927,-12.92543,-13.343338,13.407738,0.013828949356239129,0.6
123,96,65.2502,118.61537,76.106,103.99244,87.6299,105.61498,88.39421,121.157646,1.6663687,1.1642666,104.71846,142.36658,81.01573,159.50331,39.970898,131.95212,27.437603,86.808426,10.855804,-13.000389,-17.184013,16.32425,0.3663031494657104,0.6
171,108,139.86592,111.24739,134.3541,96.41352,156.72482,62.982296,169.59518,111.29207,159.64955,112.362656,170.97461,151.36694,151.65837,172.46664,118.19324,132.33301,113.66765,67.06917,-5.5118256,-48.265095,-29.344353,1.379425,0.553367329034963,0.6
124,139,100.20793,87.59048,116.01065,56.41238,178.17442,76.22428,162.52773,126.81481,1.0439653,0.64538485,196.25476,169.90092,137.90814,215.95093,112.62987,210.03564,84.39247,210.42412,15.802719,-11.366196,154.01173,33.727036,0.26641172920759837,0.6
74,50,127.91281,83.79107,126.32201,68.67735,162.57182,54.340622,175.71866,122.38742,159.04967,119.27145,174.58658,165.68633,123.90054,198.94644,83.55279,150.53065,75.075165,83.68344,-1.590805,-29.450447,15.006088,-1.1320801,0.16182730331528394,0.6
40,28,128.80055,72.85436,138.88162,40.107456,166.27534,50.893562,173.06111,95.47092,1.6158965,1.0270098,179.63756,127.908005,145.14746,151.09126,100.208405,122.58246,65.15208,55.99166,10.08107,-21.9608,15.884205,6.5764465,0.152136458837014,0.6
113,101,108.36103,58.879353,134.32535,51.50719,164.30246,77.444145,151.78636,109.40294,1.5917275,0.87662566,153.2006,140.45273,121.32781,160.00835,67.83358,123.865906,46.48917,70.84921,25.964317,18.564793,19.342022,1.4142456,0.3239069204271513,0.6
48,35,78.88774,69.92244,88.996025,50.37993,106.19556,66.72419,96.44059,102.237,2.023628,1.7022852,113.76007,133.37285,92.48611,165.51562,73.27005,164.58006,58.67197,146.80063,10.108284,-3.1982498,96.4207,17.31948,0.012965918429279633,0.6
76,57,74.48529,64.55641,3.793526,2.7485924,117.89498,35.428425,117.2285,65.88171,2.640528,2.6023111,122.425446,114.72453,101.27797,141.40143,65.898026,122.831436,43.943024,78.79454,-70.691765,-29.127987,76.045944,5.196945,0.7270703254137549,0.6
88,66,85.05851,93.554756,75.83466,90.602585,116.838974,56.540913,132.05031,106.400604,1.1661304,0.8861952,170.13542,115.65912,116.66877,157.64159,67.9008,147.49161,57.770008,135.46599,-9.223846,-37.013844,44.863403,38.085114,0.45374313780336084,0.6
66,54,3.0636926,1.6687877,1.1902732,6.5454907,132.52676,71.28519,142.51567,125.96297,0.44866917,1.0339354,176.33841,151.88863,134.43425,204.263,91.82735,186.80478,70.46821,156.6181,-1.8734194,69.6164,150.07262,33.82274,1.0096702800520925,0.6
188,128,86.96129,131.39221,102.38666,118.12128,111.03896,142.82912,108.6512,167.80342,1.9598243,1.8315078,113.48655,188.28078,103.21921,205.79459,68.50362,169.95903,55.74887,116.09017,15.425369,11.436905,-2.031105,4.83535,0.177588773178752,0.6
78,57,157.21642,125.240425,168.25023,123.29035,174.07552,149.921,165.21933,168.35101,2.3211677,1.7720087,172.23885,186.62796,160.16562,201.2482,131.03687,172.57396,123.71413,126.56058,11.033813,24.68058,3.2702255,7.019516,0.1617827796370781,0.6
60,42,4.078554,4.450359,6.0418315,6.123273,99.50137,106.93753,97.42697,141.26202,1.4255987,1.00017,101.96208,165.1405,71.7708,178.65375,25.67115,131.47884,10.964089,75.67119,1.9632773,102.487175,69.54791,4.5351105,0.7162931785785469,0.6
58,44,113.30203,113.089836,119.877174,97.01898,151.51848,124.01781,140.99266,166.82657,4.178471,2.4295871,146.75162,191.52177,16.99379,20.512651,81.38898,183.47443,64.476494,104.99986,6.575142,10.927971,7.9808807,5.758957,0.18903714638719915,0.6
184,148,105.773834,115.651855,102.71264,99.246346,138.95647,102.87163,135.00352,134.70834,124.42871,139.9618,149.1717,163.86862,122.09082,190.37592,90.74871,161.00809,70.372604,110.36485,-3.0611954,-12.780228,11.118507,14.168182,0.10040490889238263,0.6
81,49,121.4437,50.973305,133.55,21.877987,154.84586,57.88177,138.57043,113.722534,1.620416,0.9956459,146.16139,149.23967,137.03122,181.2297,116.29469,175.82948,99.32197,151.71799,12.1063,6.9084663,129.84,7.5909576,0.2118521619132243,0.6
55,52,52.032913,49.803635,56.93517,40.161156,74.743065,71.61568,77.35073,102.00411,42.31197,57.63354,86.81326,130.33998,65.656334,153.52463,31.757563,132.97438,17.94079,91.64568,4.902256,21.812042,51.484528,9.462532,0.6377254907251535,0.6
30,40,130.39285,109.99942,152.77388,92.99459,182.12326,108.59386,184.2268,132.63654,158.17105,141.77249,184.8095,156.7381,131.25546,178.34444,73.13223,182.2717,39.01343,159.1594,22.381027,-1.4055634,66.1648,0.5826874,0.6700789056406247,0.6
123,129,154.00067,40.949596,161.32086,27.631056,186.12105,43.998497,183.06044,63.85472,1.933199,0.924728,204.48979,106.38594,181.0076,123.74206,147.76158,119.486084,133.09108,99.09238,7.3201904,3.0489006,71.46132,21.429352,0.03295767489449397,0.6
43,32,3.662782,3.6359222,48.510258,73.58865,74.25971,78.69312,75.33359,104.77175,2.7030196,2.595177,83.98114,130.31636,71.041016,156.76941,54.201557,161.0439,46.382416,143.18817,44.847477,75.0572,69.59952,8.6475525,0.023475095696599446,0.6
99,81,96.65443,49.337055,93.08893,9.414702,167.22821,30.198465,170.19125,83.24982,1.090227,0.922541,181.97142,123.35719,141.85428,132.52696,61.20891,99.89411,23.823654,18.198526,-3.5654984,-19.13859,8.783824,11.780167,0.3298240760477099,0.6
93,123,72.669464,105.15021,7.242711,9.063765,90.972046,99.100716,94.836945,128.79973,91.93311,129.567,102.7948,143.46458,92.8583,165.67029,58.299744,141.24477,40.790405,114.9227,-65.42675,-6.049492,105.85893,7.957855,2.1420974151107557,0.6
66,66,65.26491,74.24904,88.65801,55.878338,112.478165,77.58939,96.75728,114.5191,75.9607,115.99933,107.084435,158.2204,71.03759,174.90837,13.612983,139.93837,2.6692817,11.338035,23.393105,3.340355,-44.540302,10.327156,0.3117528260798669,0.6
112,74,92.24123,47.299385,112.93186,22.992737,137.44456,44.61219,136.80846,97.44782,128.76215,110.405464,147.41776,141.58981,112.38463,174.16042,88.731705,164.65158,70.211555,126.6602,20.690636,-2.6871948,103.667465,10.609299,0.17509547373898804,0.6
159,110,91.74433,74.28563,101.32974,53.7477,122.62337,81.74324,119.205795,127.67728,106.31873,126.041245,125.45154,164.65611,102.8615,194.87634,66.56355,131.52278,57.63766,60.89648,9.585411,7.457611,7.148781,6.245743,0.8180148432395513,0.6
59,40,105.08973,72.48489,111.23298,59.02445,129.49922,72.78476,120.00184,95.734825,14.098623,9.720568,123.591866,121.73889,103.48075,139.4093,77.04013,112.13066,69.28279,77.53423,6.1432495,0.29986572,18.509785,3.5900269,0.08697344349763503,0.6
77,74,3.5949676,1.8475244,120.30046,94.508835,135.65802,104.88814,144.39502,127.16685,1.6446165,0.68207043,165.08699,162.79185,132.11809,178.83911,92.21428,159.24858,61.248806,108.35899,116.70549,103.04061,13.850159,20.69197,0.10683783327749641,0.6
128,93,121.11519,89.05602,122.17341,75.617455,146.89224,88.033676,135.58853,117.27613,2.3087826,1.6064903,144.68608,149.84274,125.100716,172.47617,97.11157,144.60776,84.75459,102.27298,1.0582199,-1.0223465,26.655525,9.097549,0.27008668864593366,0.6
123,86,126.1866,95.802124,129.27911,83.6593,150.36893,69.954666,167.56961,99.27327,157.34404,109.095665,182.43793,118.06982,157.68211,143.79411,106.27611,135.46657,78.78415,100.84045,3.092514,-25.847458,17.181145,14.868317,0.3969718854205537,0.6
147,117,87.98547,75.38316,100.96886,53.73143,116.64194,70.98478,109.15462,99.14799,2.0051072,1.5375729,131.45576,125.81799,103.03766,153.05634,68.65994,133.42542,46.900772,90.283844,12.983383,-4.398384,36.552414,22.301147,0.12290582546604933,0.6
70,65,28.25459,13.924307,102.4011,69.489876,160.80972,74.856514,163.99048,115.963486,0.95620084,0.65249795,183.8356,161.44424,146.10724,184.44736,99.71856,155.94682,77.97169,94.843254,74.146515,60.932205,25.353378,19.845123,0.19323708905119408,0.6
132,99,2.689022,1.700765,2.4298003,1.6774759,134.69196,58.61139,127.28999,111.72158,1.5787243,1.1282665,140.22368,154.72498,112.353424,176.51128,66.86376,126.06558,36.653862,39.86884,-0.2592218,56.910625,38.191364,12.933685,0.8190462077884217,0.6
66,39,124.40518,99.33787,143.58154,84.56552,160.89987,109.462746,153.30798,142.88696,3.9230046,2.6326408,160.9465,171.43604,137.47296,192.4578,117.76467,165.27774,109.18811,127.42878,19.176361,10.124878,42.86326,7.6385193,0.7240142700433367,0.6
75,52,93.58748,70.03759,94.838974,50.29009,114.99688,69.08072,112.85178,106.007,1.398419,1.4663492,122.83685,146.691,109.832855,161.46841,78.45301,112.28782,74.846115,44.319653,1.2514954,-0.95687103,-5.970436,9.985069,1.1282099291639396,0.6
89,57,83.68013,72.74475,81.973526,40.416412,128.06905,40.609238,129.29276,88.91191,2.6790257,2.2868843,134.77487,126.35652,104.103714,158.78232,64.30183,133.26436,50.93905,76.6848,-1.706604,-32.135513,36.268387,5.4821167,0.16417784985262895,0.6
88,66,86.29405,115.628586,74.951324,102.99904,118.190506,68.20829,151.20544,111.92842,131.7949,109.4107,148.75145,160.51703,114.76686,174.46318,72.48169,156.4891,43.65491,94.19436,-11.342728,-47.420296,-8.80468,-2.4539948,0.21362252012381733,0.6
184,136,89.184044,83.52475,89.34884,69.98864,99.12678,79.61344,101.27064,101.02825,96.62824,109.92506,110.50953,136.3363,98.02374,156.75868,70.11514,131.62584,50.449966,76.51057,0.16479492,-3.9113083,6.521927,9.238892,0.5378322960412916,0.6
69,45,3.27926,2.0852842,123.488914,64.80216,161.92722,90.7349,157.39151,146.84285,1.2167871,0.5997787,167.6797,189.08752,138.55876,215.20218,103.47959,183.41403,80.40937,117.58842,120.209656,88.64962,52.786255,10.288193,0.5111376706928759,0.6
122,58,120.71833,80.299355,133.93718,64.30898,137.53754,94.245964,134.13243,139.70544,118.95044,141.9632,131.7234,177.06622,113.995026,203.06958,80.77745,133.93088,76.61673,52.758507,13.218849,13.9466095,-11.550476,-2.409027,0.6519691409904613,0.6
54,36,95.11418,44.116783,108.19542,36.69803,124.55659,51.168816,130.58386,89.686745,122.59875,93.54843,137.80573,150.81705,112.42081,171.69337,85.06634,141.98993,67.59149,82.008286,13.081238,7.0520325,45.310257,7.221863,0.8350130429387725,0.6
62,32,107.29295,76.34572,100.0413,26.281918,153.11494,44.501373,149.38658,96.16747,1.5419186,1.2553886,158.50902,136.47807,132.20494,167.53119,95.228645,141.47063,78.60413,85.36925,-7.2516556,-31.844345,59.08733,9.122437,0.45464234321857067,0.6
76,87,120.33911,127.83235,2.51599,5.1512623,152.62518,82.453476,169.72119,137.38159,1.1955844,2.1586466,199.76578,159.68594,164.55118,187.9874,133.61368,177.49142,108.239136,153.50336,-117.82312,-45.378876,148.3521,30.044586,1.6662015311215117,0.6
59,38,7.5357924,4.3307104,42.502335,22.886814,133.66115,55.45965,136.11465,99.56407,2.1498575,1.6945839,139.88695,140.57733,118.31388,164.94797,88.75914,137.28491,76.89837,79.03261,34.96654,51.128937,56.145794,3.772293,1.3698553099913244,0.6
160,93,94.3264,82.49405,100.11714,65.05816,121.13543,86.970055,122.28528,126.24094,109.61289,124.142944,129.09717,158.98808,112.925255,181.28067,81.45612,155.58266,67.24976,116.78808,5.790741,4.4760056,51.72992,6.8118896,0.6485969420599489,0.6
151,106,104.05509,65.37556,102.49131,46.165913,128.9069,59.943542,124.82178,93.29405,3.187976,2.2765546,143.89398,141.30936,126.893745,172.56003,82.23341,134.27902,61.093987,80.17029,-1.5637817,-5.4320145,34.004375,19.072205,0.5690892362337636,0.6
113,56,4.609344,5.724432,99.546776,116.477615,118.01201,51.548885,133.54544,134.54883,121.73252,142.24252,135.75334,172.26094,114.12392,211.08057,73.10947,162.6517,69.38066,77.10966,94.93743,45.824455,-39.367958,2.207901,0.49226639720289356,0.6
52,39,187.20622,48.809944,191.47057,36.81288,208.60252,88.105995,195.88333,131.65413,170.72919,128.57,198.31165,179.84554,166.38916,201.76898,113.995895,142.22076,116.03471,56.683254,4.2643433,39.29605,19.870373,2.4283142,0.4568253642280713,0.6
111,96,75.78501,73.66241,68.98337,58.755203,136.32214,41.33905,138.8999,99.53339,126.19437,103.13495,134.54529,156.27371,99.48257,179.3484,44.50068,129.52312,37.037746,51.842327,-6.8016434,-32.323357,-6.912876,-4.3546143,0.0040848442378209615,0.6
107,54,88.860435,95.05827,98.590805,71.326675,115.451454,92.22995,108.84859,136.49649,1.6385516,1.5928711,108.12414,169.33658,82.66382,185.82185,57.85797,166.67798,41.40248,114.91159,9.73037,-2.8283234,43.584915,-0.72444916,0.24264435314214428,0.6
243,141,105.540115,88.90783,114.82114,67.50409,135.96858,77.705666,126.26806,110.69117,2.0413826,1.3461401,134.52971,135.20801,114.96099,148.28369,88.16844,126.74359,73.92708,71.444984,9.281021,-11.202164,3.940895,8.26165,0.045448049978356275,0.6
138,72,96.719025,108.18028,97.887024,75.44026,120.74138,72.07891,122.73556,101.26733,117.167366,113.51338,130.96117,144.68118,108.118256,172.6929,80.45955,107.18305,78.468254,44.680634,1.1679993,-36.10137,-30.759628,8.225609,0.6912114129795677,0.6
84,86,120.043655,95.84213,121.03695,83.089264,158.60071,83.32318,156.95335,108.893425,142.35909,109.854416,154.27701,127.57591,127.85339,140.8318,91.72789,123.98695,80.73074,91.4766,0.99329376,-12.518951,8.387337,-2.6763458,0.5073855703335991,0.6
128,98,127.14623,84.902504,131.4027,78.22127,141.62753,91.84955,143.80272,115.36777,133.04521,122.69285,154.10605,148.35849,135.51695,164.92079,113.080894,142.44672,103.81027,113.87793,4.256462,6.9470444,35.656662,10.303329,0.7332433464409231,0.6
91,69,109.12602,67.48375,108.99088,51.189465,137.44128,41.25917,151.33977,76.33463,143.52716,86.97903,159.15746,109.28505,118.60277,142.88005,80.367455,135.02646,58.38266,106.72809,-0.13513947,-26.224579,55.538624,7.817688,0.35184572869377695,0.6
113,79,107.3615,94.597,98.645775,82.0378,125.93904,80.04293,128.99243,112.677475,120.71719,124.8746,137.99219,145.56241,117.29668,167.00464,85.64544,138.6858,71.45849,91.58373,-8.715729,-14.5540695,9.545929,8.999756,0.3120495852033338,0.6
85,74,100.94465,99.620575,94.38838,78.97252,125.102875,67.32067,150.6202,96.68817,144.56758,108.65708,163.39908,126.72388,134.46829,141.4079,93.82608,137.62936,67.99324,114.54585,-6.556267,-32.299904,35.573334,12.778885,0.24883095628068763,0.6
83,71,87.46977,94.41536,90.1897,79.27751,119.65052,67.25891,119.19048,97.81045,107.71867,105.48634,124.28383,123.44916,88.9328,144.3659,58.904755,127.020874,46.447952,88.58233,2.719925,-27.156448,9.304817,5.0933456,0.3961668845843639,0.6
104,84,113.39393,81.75781,119.85896,72.77641,125.21678,93.620056,121.463554,111.11319,2.0330992,1.338501,120.87799,131.63863,105.76902,140.92264,79.89643,116.13342,69.13797,81.223434,6.4650345,11.862244,8.4470215,-0.58556366,0.038361633597561395,0.6
123,89,83.58637,102.486595,74.164825,80.56864,112.11331,47.5304,137.73695,109.71943,126.07494,121.50936,144.59496,147.64337,104.17587,176.1953,55.49168,131.35957,42.897644,63.126053,-9.421547,-54.956196,-17.442589,6.8580017,0.16260109115339128,0.6
86,72,103.78538,80.384575,111.08887,76.46047,132.82472,91.89244,127.74932,111.50786,2.22499,1.3227835,137.10156,134.39227,109.05047,143.95828,69.99521,122.739914,51.236984,85.815254,7.3034897,11.507866,9.354782,9.3522415,0.42460604061854224,0.6
137,97,66.83226,97.52748,69.81341,75.06003,131.91458,56.15972,138.68944,109.40146,2.5120406,1.3017195,141.46143,146.36319,106.61116,168.15187,56.1401,159.29442,40.501286,116.050705,2.9811478,-41.36776,40.990677,2.771988,0.33404340138879374,0.6
132,138,96.582405,98.210655,95.76374,80.24573,143.21388,60.813766,156.48936,104.387436,143.58583,108.242165,152.05148,132.28767,121.41152,150.73372,75.61676,125.989426,61.93595,85.35009,-0.81866455,-37.39689,5.1043625,-4.4378815,0.366508102382587,0.6
64,49,83.87506,73.59607,86.06384,59.101254,114.92737,73.64877,124.965546,109.29279,109.87003,120.589195,133.23026,146.62268,104.96276,171.10059,74.080696,139.66843,56.485016,95.062454,2.1887817,0.052703857,35.9612,8.264709,0.574858320733755,0.6
138,82,96.07881,99.91181,93.008965,75.619255,123.52041,44.30433,152.89235,92.886925,139.07071,112.37763,162.4549,157.15004,126.530716,205.12607,83.27567,172.59283,55.679226,127.48879,-3.069847,-55.607483,51.869537,9.562546,0.0037386653117343904,0.6
127,125,104.711586,79.80351,115.102356,79.81259,128.34319,87.48739,131.74777,110.039505,124.75728,110.406425,132.32262,132.5175,121.71985,142.00949,85.41652,127.29805,71.16327,89.6662,10.39077,7.683876,9.853607,0.57484436,0.1569136377163336,0.6
62,50,93.03874,112.45116,92.05813,90.685844,123.07908,92.69632,126.8729,120.73116,117.44511,129.52408,132.98584,145.90208,104.19484,173.05194,71.868484,140.82614,57.207275,104.5604,-0.9806137,-19.754837,13.8745575,6.112938,0.00611277878582861,0.6
91,60,83.54846,103.09478,77.51625,79.17222,112.99953,56.82791,137.44865,129.94545,120.3196,136.1886,147.34406,176.51303,120.02861,200.87918,68.813126,161.97646,53.884037,88.152695,-6.0322113,-46.26687,8.980476,9.895401,0.6769686121215768,0.6
110,93,122.83389,94.20727,123.778015,64.190956,158.73746,70.47451,159.50989,104.25084,152.08153,120.06014,165.34787,138.63133,131.16048,174.69963,97.33466,120.50034,85.52967,56.818577,0.9441223,-23.732758,-7.3723793,5.837982,0.23723184309647505,0.6
79,64,74.80741,81.314575,50.069202,46.373436,127.88701,36.755768,153.92096,95.514915,139.69406,120.764725,168.64351,161.34067,122.518814,196.90106,82.3745,184.01617,58.622963,150.37553,-24.738209,-44.558807,104.0021,14.722549,0.0054185897707847985,0.6
34,31,111.80285,103.13495,118.40076,78.3674,173.91255,82.58215,182.65974,130.38193,1.9104395,0.8497462,176.69995,170.11963,138.49538,199.78256,57.9843,146.8135,29.479603,62.576786,6.597908,-20.552795,-15.790615,-5.959793,0.4059890373227122,0.6
51,32,116.04033,108.78592,140.24043,97.342476,155.45705,143.72116,132.60466,171.75604,141.87051,193.6968,123.842926,203.78363,77.70587,191.12741,47.775364,126.70277,23.840115,4.949205,24.200104,34.93524,-92.39327,-8.761734,0.6606385107207654,0.6
107,60,99.75457,56.355957,107.99492,31.85449,126.40065,83.92578,97.24428,121.48906,1.3765085,1.2248056,130.57846,151.81012,103.11684,182.68494,65.74262,144.87366,46.21165,90.8237,8.240349,27.569824,58.969208,33.334183,0.6249960980084783,0.6
142,85,99.406555,81.5987,93.84388,56.22744,140.5506,54.70713,148.37485,110.056175,136.32289,121.74217,156.11832,152.43987,116.92937,186.46767,77.38182,153.62866,58.649933,97.141106,-5.5626755,-26.891571,40.913666,7.743469,0.18396880211486466,0.6
75,53,92.77573,71.783424,91.653824,40.45223,135.59966,56.434715,140.09534,122.84228,126.48085,121.31316,136.69919,153.28271,110.54168,178.10893,62.920387,134.4087,50.573597,61.8272,-1.1219025,-15.348709,21.374973,-3.3961487,0.38088658368820205,0.6
104,65,96.28617,79.41659,101.62271,51.905266,124.181465,83.80805,124.35103,126.79194,112.39136,132.94295,129.69379,170.77238,114.7406,203.0936,68.92491,146.01338,51.142685,71.12204,5.33654,4.391464,19.216774,5.342758,0.7971014589178194,0.6
61,41,4.015461,2.5799563,116.32676,78.90831,140.67874,100.751976,129.29816,136.30319,1.5743291,0.7074558,135.97047,185.15263,99.23616,211.19275,55.749416,158.2017,39.11288,77.10579,112.311295,98.17202,-1.8025208,6.6723175,0.02906737338160581,0.6
79,47,102.87588,55.712105,113.63034,40.865997,123.28907,71.91885,123.44638,119.04976,106.12455,123.87723,137.08035,170.94153,108.41715,207.24327,67.74647,146.61946,50.595764,69.45476,10.754463,16.206749,28.58876,13.633972,1.0385653002303323,0.6
61,31,104.68259,103.81143,102.35287,80.59669,147.33809,65.18636,146.23047,131.5849,131.2604,144.29478,140.47893,182.42113,113.16464,214.14886,96.73563,197.94942,81.32787,158.00862,-2.3297195,-38.62507,77.411934,-5.751541,0.07363004875813628,0.6
64,50,98.425514,101.92233,94.546005,70.29407,169.25381,58.870632,187.26134,135.81863,170.68216,131.53897,179.2491,179.07993,124.61507,212.95763,78.79842,185.77042,56.32379,145.17703,-3.879509,-43.0517,74.882965,-8.012238,0.22421964834943608,0.6
